title,season,episode,description,rating,total_vote,airdate,runtime,list_of_the_cast
The Blaze of Glory,2 ,16,"Marissa recruits Ryan to help her with Harbor School's Pep Rally Bonfire. Alex accepts that her and Marissa are from two different lives and knows she is fighting a lost cause. Seth is ...
                    See full summary »",7.7/10,328,Episode aired 17 March 2005,43min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood
Mischa Barton  as  Marissa Cooper
Adam Brody  as  Seth Cohen
Melinda Clarke  as  Julie Cooper-Nichol
Rachel Bilson  as  Summer Roberts
Alan Dale  as  Caleb Nichol
Billy Campbell  as  Carter Buckley
Johnny Messner  as  Lance Baldwin
Olivia Wilde  as  Alex Kelly
LeAnna Campbell  as  Sidney the Hooker
George Contreras  as  Punk #1
Brandt Jacobus  as  Student #1
TaiVon McKinney  as  Student #2 (as Taivon McKinney)"
The Brothers Grim,2 ,17,"When Ryan's brother, Trey, gets out of jail and gives Ryan a call, the Cohens give him a warm welcome. Though, Ryan knows nothing good can come from it. Zach returns from his trip to Italy ...
                    See full summary »",7.7/10,319,Episode aired 24 March 2005,43min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood
Mischa Barton  as  Marissa Cooper
Adam Brody  as  Seth Cohen
Melinda Clarke  as  Julie Cooper-Nichol
Rachel Bilson  as  Summer Roberts
Alan Dale  as  Caleb Nichol
Billy Campbell  as  Carter Buckley
Michael Cassidy  as  Zach Stevens
Logan Marshall-Green  as  Trey Atwood
Jordan Baker  as  Elaine Stevens
Johnny Messner  as  Lance Baldwin
Christopher Backus  as  Curtis
Shaun Cozzens  as  Porn Star"
The Risky Business,2 ,18,"Sandy reluctantly agrees with Kirsten to serve as host/auctioneer at yet another OC benefit. Meanwhile, Trey lies to Ryan to prove that he can be self-dependent when he steals one auction ...
                    See full summary »",8.1/10,326,Episode aired 7 April 2005,43min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood
Mischa Barton  as  Marissa Cooper
Adam Brody  as  Seth Cohen
Melinda Clarke  as  Julie Cooper-Nichol (credit only)
  Rachel Bilson  as  Summer Roberts
Alan Dale  as  Caleb Nichol (credit only)
  Billy Campbell  as  Carter Buckley
Michael Cassidy  as  Zach Stevens
Logan Marshall-Green  as  Trey Atwood
Kimberly Oja  as  Taryn Baker (as Kim Oja)
  Danielle Bisutti  as  Joan
Frank Crim  as  Landlord
Kyle Bornheimer  as  Norman"
The Rager,2 ,19,"On Trey's 21st birthday, Marissa, anxious to help Trey and Ryan forge a relationship, throws a birthday party for Trey at the Cooper-Nichol mansion that turns out to be a rumble when one ...
                    See full summary »",7.8/10,314,Episode aired 14 April 2005,43min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood
Mischa Barton  as  Marissa Cooper
Adam Brody  as  Seth Cohen
Melinda Clarke  as  Julie Cooper-Nichol
Rachel Bilson  as  Summer Roberts
Alan Dale  as  Caleb Nichol (credit only)
  Billy Campbell  as  Carter Buckley
Marguerite Moreau  as  Reed Carlson
Michael Cassidy  as  Zach Stevens
Logan Marshall-Green  as  Trey Atwood
Aya Sumika  as  Erin
Nikki Griffin  as  Jess Sathers
Johnny Messner  as  Lance Baldwin"
The Way We Were,2 ,2,"The boys are back. Every status is quo. Except: Summer won't kiss and make up. Ryan catches Marissa in a clinch, the DA busts Caleb, Hailey bails and the re-modelers are like a wrecking crew. Home sweet chaos.",7.9/10,351,Episode aired 11 November 2004,43min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood
Mischa Barton  as  Marissa Cooper
Adam Brody  as  Seth Cohen
Melinda Clarke  as  Julie Cooper-Nichol
Rachel Bilson  as  Summer Roberts
Alan Dale  as  Caleb Nichol
Tate Donovan  as  Jimmy Cooper
Amanda Righetti  as  Hailey Nichol
Michael Cassidy  as  Zach Stevens
Nicholas Gonzalez  as  D.J.
Bruno Amato  as  Archie
Michelle Hurd  as  Ms. Fisher
Greg Callahan  as  Plainclothes Cop"
The O.C. Confidential,2 ,20,"Sandy, Ryan, and Seth devise a plan to save Trey from going to jail after he took the fall for supplying drugs at his birthday party. Kirsten and Carter, fulfilling more than their ...
                    See full summary »",7.6/10,321,Episode aired 21 April 2005,43min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood
Mischa Barton  as  Marissa Cooper
Adam Brody  as  Seth Cohen
Melinda Clarke  as  Julie Cooper-Nichol
Rachel Bilson  as  Summer Roberts
Alan Dale  as  Caleb Nichol
Billy Campbell  as  Carter Buckley
Marguerite Moreau  as  Reed Carlson
Michael Cassidy  as  Zach Stevens
Logan Marshall-Green  as  Trey Atwood
Nikki Griffin  as  Jess Sathers
Travis Van Winkle  as  Kyle Thompson
Gary Hershberger  as  Tom MacGinty"
The Return of the Nana,2 ,21,"Sandy, Seth and Ryan travel to Miami, Florida to visit Sandy's mother, the Nana, after she tells Sandy she is getting married to a much younger man. Back in Newport, Kirsten, unable go to ...
                    See full summary »",7.8/10,336,Episode aired 5 May 2005,43min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood
Mischa Barton  as  Marissa Cooper
Adam Brody  as  Seth Cohen
Rachel Bilson  as  Summer Roberts
Melinda Clarke  as  Julie Cooper
Billy Campbell  as  Carter Buckley
Michael Cassidy  as  Zach Stevens
Logan Marshall-Green  as  Trey Atwood
Nikki Griffin  as  Jess Sathers
Tony Denison  as  Bobby Mills
Jaime King  as  Mary-Sue
Linda Lavin  as  Sophie Cohen
Krista Kalmus  as  Pixie"
The Showdown,2 ,22,"Seth and Zach declare war when they compete against each other for Summer's affections. Meanwhile, Marissa is still reeling from being nearly raped by Trey, and refuses to confide in Ryan ...
                    See full summary »",8.0/10,314,Episode aired 5 May 2005,43min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood
Mischa Barton  as  Marissa Cooper
Adam Brody  as  Seth Cohen
Melinda Clarke  as  Julie Cooper-Nichol
Rachel Bilson  as  Summer Roberts
Alan Dale  as  Caleb Nichol
Michael Cassidy  as  Zach Stevens
Marguerite Moreau  as  Reed Carlson
Logan Marshall-Green  as  Trey Atwood
Nikki Griffin  as  Jess Sathers
Todd Bosley  as  Leon
Burnadean Jones  as  Woman in Plain Suit
Carrie Ann Nagy  as  Clare"
The O.Sea,2 ,23,"Seth and Zach squabble over who should take Summer to the prom and who will meet George Lucas for dinner over the publishing of the graphic novel. Meanwhile, Sandy takes drastic actions ...
                    See full summary »",8.6/10,354,Episode aired 12 May 2005,43min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood
Mischa Barton  as  Marissa Cooper
Adam Brody  as  Seth Cohen
Melinda Clarke  as  Julie Cooper-Nichol
Rachel Bilson  as  Summer Roberts
Alan Dale  as  Caleb Nichol
Michael Cassidy  as  Zach Stevens
Marguerite Moreau  as  Reed Carlson
Logan Marshall-Green  as  Trey Atwood
Nikki Griffin  as  Jess Sathers
Matt McKenzie  as  Prom Announcer
Cynthia Avila  as  Eva
Navi Rawat  as  Theresa Diaz"
The Dearly Beloved,2 ,24,"Familiar faces show up for a final farewell to Caleb. Meanwhile, Sandy takes action to help Kirsten. And when Ryan learns about the Trey-Marissa incident, a showdown - if not a tragedy - is inevitable.",8.9/10,481,Episode aired 19 May 2005,43min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood
Mischa Barton  as  Marissa Cooper
Adam Brody  as  Seth Cohen
Melinda Clarke  as  Julie Cooper-Nichol
Rachel Bilson  as  Summer Roberts
Alan Dale  as  Caleb Nichol (credit only)
  Tate Donovan  as  Jimmy Cooper
Logan Marshall-Green  as  Trey Atwood
Garrett M. Brown  as  Dr. Kenneth Woodruff
Nikki Griffin  as  Jess Sathers
Amanda Righetti  as  Hailey Nichol
Darion Basco  as  Andrew
Doug Burch  as  Pastor"
The New Kids on the Block,2 ,3,"Seth pulls off a magnanimous gesture for Summer, then blows it. Lindsay and Ryan become Physics lab partners and share some romantic chemistry. Embattled Caleb names Julie as Newport Group's CE-uh-O.",7.9/10,365,Episode aired 18 November 2004,43min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood
Mischa Barton  as  Marissa Cooper
Adam Brody  as  Seth Cohen
Melinda Clarke  as  Julie Cooper-Nichol
Rachel Bilson  as  Summer Roberts
Alan Dale  as  Caleb Nichol
Tate Donovan  as  Jimmy Cooper
Michael Nouri  as  Dr. Neil Roberts
Michael Cassidy  as  Zach Stevens
Shannon Lucio  as  Lindsay Gardner
Perry Anzilotti  as  Mr. Greenburg
Olivia Wilde  as  Alex Kelly
Kady Cole  as  Kristen"
The New Era,2 ,4,"It's not a date, it's a group hang. So Seth goes with Lindsay, but looks for Summer. Ryan goes with Alex, but would rather be with Lindsay. And Alex...well, stay tuned. That new CEO has a style all her own.",7.9/10,358,Episode aired 2 December 2004,43min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood
Mischa Barton  as  Marissa Cooper
Adam Brody  as  Seth Cohen
Melinda Clarke  as  Julie Cooper-Nichol
Rachel Bilson  as  Summer Roberts
Alan Dale  as  Caleb Nichol
Tate Donovan  as  Jimmy Cooper
Michael Cassidy  as  Zach Stevens
Shannon Lucio  as  Lindsay Gardner
Nicholas Gonzalez  as  D.J.
Gregory Itzin  as  Stephen Herbert
Olivia Wilde  as  Alex Kelly"
The SnO.C.,2 ,5,"The winter dance is near and a Ryan-Lindsay hook-up is off, on, off, on, off like a light switch. But all will be smoothed over by the time of the big Newport social event. Or not. Plus: Caleb's secret revealed.",8.1/10,379,Episode aired 9 December 2004,43min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood
Mischa Barton  as  Marissa Cooper
Adam Brody  as  Seth Cohen
Melinda Clarke  as  Julie Cooper-Nichol
Rachel Bilson  as  Summer Roberts
Alan Dale  as  Caleb Nichol
Tate Donovan  as  Jimmy Cooper
Michael Cassidy  as  Zach Stevens
Shannon Lucio  as  Lindsay Gardner
Nicholas Gonzalez  as  D.J.
Kathleen York  as  Renee Wheeler
Olivia Wilde  as  Alex Kelly
Chriss Anglin  as  Homer"
The Chrismukkah That Almost Wasn't,2 ,6,"Friends, festivities, eight days of gifts, another day with a whole lot of gifts. Seth's formula for the perfect Chrismukkah may come undone when Caleb's confession rocks the Cohen world.",8.6/10,384,Episode aired 16 December 2004,44min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood
Mischa Barton  as  Marissa Cooper
Adam Brody  as  Seth Cohen
Melinda Clarke  as  Julie Cooper-Nichol
Rachel Bilson  as  Summer Roberts
Alan Dale  as  Caleb Nichol
Tate Donovan  as  Jimmy Cooper
Shannon Lucio  as  Lindsay Gardner
Kathleen York  as  Renee Wheeler"
The Family Ties,2 ,7,Time to move on: Jimmy decides to relocate to Maui. Time to make a move: Ryan and Lindsay wonder about a first kiss. Time to bust a move: Seth turns bad boy in an attempt to impress Alex.,8.1/10,352,Episode aired 6 January 2005,44min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood
Mischa Barton  as  Marissa Cooper
Adam Brody  as  Seth Cohen
Melinda Clarke  as  Julie Cooper-Nichol
Rachel Bilson  as  Summer Roberts
Alan Dale  as  Caleb Nichol
Tate Donovan  as  Jimmy Cooper
Michael Cassidy  as  Zach Stevens
Shannon Lucio  as  Lindsay Gardner
Nicholas Gonzalez  as  D.J.
Olivia Wilde  as  Alex Kelly
John F. Beach  as  Valet
George Contreras  as  Surfer Dude"
The Power of Love,2 ,8,"Sandy didn't forget his 20th anniversary. Honest. Just ask him. And just watch him squirm as he tries to make things right. Also, Seth and Ryan are grounded; DJ calls it quits with Marissa.",7.9/10,340,Episode aired 13 January 2005,43min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood
Mischa Barton  as  Marissa Cooper
Adam Brody  as  Seth Cohen
Melinda Clarke  as  Julie Cooper-Nichol
Rachel Bilson  as  Summer Roberts
Alan Dale  as  Caleb Nichol
Michael Cassidy  as  Zach Stevens
Shannon Lucio  as  Lindsay Gardner
Nicholas Gonzalez  as  D.J.
Jordan Baker  as  Elaine Stevens
Devin Sidell  as  Abigail Stevens
Olivia Wilde  as  Alex Kelly
Stephon Fuller  as  Photographer"
The Ex-Factor,2 ,9,"The ABC's of love. When Alex wants to spend time with her ex, Seth says ""X"" must make room for ""I"" and ""U."" But there's something Seth doesn't know. Julie has a makeover idea for the Newport Group.",7.8/10,345,Episode aired 20 January 2005,44min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood
Mischa Barton  as  Marissa Cooper
Adam Brody  as  Seth Cohen
Melinda Clarke  as  Julie Cooper-Nichol
Rachel Bilson  as  Summer Roberts
Alan Dale  as  Caleb Nichol
Michael Cassidy  as  Zach Stevens
Shannon Lucio  as  Lindsay Gardner
Emmanuelle Chriqui  as  Jodie
Michael Simpson  as  Matt Miller
Olivia Wilde  as  Alex Kelly
Todd Bosley  as  Awkward Geek #2
Ben Diskin  as  Phillip /   Geek #3"
The Aftermath,3 ,1,Ryan and Marissa deal with the aftermath of Trey's shooting. Kirsten meets Charlotte at rehab.,8.1/10,362,Episode aired 8 September 2005,43min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood
Mischa Barton  as  Marissa Cooper
Adam Brody  as  Seth Cohen
Melinda Clarke  as  Julie Cooper
Rachel Bilson  as  Summer Roberts
Tate Donovan  as  Jimmy Cooper
Jeri Ryan  as  Charlotte Morgan
Logan Marshall-Green  as  Trey Atwood
Garrett M. Brown  as  Dr. Kenneth Woodruff
Timothy Omundson  as  Deputy District Attorney Chris Caldwell
Michael Adler  as  Jeff Frenkel
Stephen O'Mahoney  as  Cop #1
Gary Weeks  as  Cop #2"
The Chrismukkah Bar Mitz-vahkkah,3 ,10,"Ryan, Marissa, Seth, and Summer raise money for Johnny's surgery by throwing Ryan a Bar Mitzvah.",7.7/10,297,Episode aired 15 December 2005,43min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood
Mischa Barton  as  Marissa Cooper
Adam Brody  as  Seth Cohen
Melinda Clarke  as  Julie Cooper
Rachel Bilson  as  Summer Roberts
Ryan Donowho  as  Johnny Harper
Lisa Rotondi  as  Gwen Harper
Michael Nouri  as  Dr. Neil Roberts
Blair Hickey  as  Photographer
Juan Ramírez  as  Cashier (as Juan Ramirez)
  Nicklaus J. Koeppen  as  Young Seth Cohen"
The Safe Harbor,3 ,11,"Ryan, Seth, and Summer plot to get Marissa back into Harbor School.",8.1/10,288,Episode aired 12 January 2006,43min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood
Mischa Barton  as  Marissa Cooper
Adam Brody  as  Seth Cohen
Melinda Clarke  as  Julie Cooper
Rachel Bilson  as  Summer Roberts
Ryan Donowho  as  Johnny Harper
Jeff Hephner  as  Matt Ramsey
Rosalind Chao  as  Dr. Kim
Michael Nouri  as  Dr. Neil Roberts
Autumn Reeser  as  Taylor Townsend
Johnny Lewis  as  Dennis 'Chili' Childress
Michael Mantell  as  Judge Jim Mercer (as Michael Mantel)
  Tiffany Thornton  as  Ashley"
The Sister Act,3 ,12,"Marissa's sister returns home from boarding school with secrets, lies, and a bag of stolen cash. Veronica and Julie compete for the affections of Niel Roberts. Johnny tries to distance himself from Marissa.",7.6/10,300,Episode aired 19 January 2006,43min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood
Mischa Barton  as  Marissa Cooper
Adam Brody  as  Seth Cohen
Melinda Clarke  as  Julie Cooper
Rachel Bilson  as  Summer Roberts
Ryan Donowho  as  Johnny Harper
Autumn Reeser  as  Taylor Townsend
Willa Holland  as  Kaitlin Cooper
Michael Nouri  as  Dr. Neil Roberts
Johnny Lewis  as  Dennis 'Chili' Childress
Paula Trickey  as  Veronica Townsend
Jackson Rathbone  as  Justin
Scott Seymour  as  Sam"
The Pot Stirrer,3 ,13,Julie throws Kaitlyn a birthday bash. Sandy tries to close a deal. Marissa butts heats with her sister. Seth spirals after being offered a college interview.,7.5/10,278,Episode aired 26 January 2006,43min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood
Mischa Barton  as  Marissa Cooper
Adam Brody  as  Seth Cohen
Melinda Clarke  as  Julie Cooper
Rachel Bilson  as  Summer Roberts
Ryan Donowho  as  Johnny Harper
Jeff Hephner  as  Matt Ramsey
Willa Holland  as  Kaitlin Cooper
Michael Nouri  as  Dr. Neil Roberts
Robert Picardo  as  Bill Merriam
Andrea C. Pearson  as  Lily (as Andrea Pearson)"
The Cliffhanger,3 ,14,"The Johnny-Kaitlin-Marissa-Ryan situation finds closure, perhaps, and tragedy for sure. Summer may be running out of forgiveness for Seth's half-truths. And Dr. Roberts makes a startling admission to Julie.",7.9/10,301,Episode aired 2 February 2006,43min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood
Mischa Barton  as  Marissa Cooper
Adam Brody  as  Seth Cohen
Melinda Clarke  as  Julie Cooper
Rachel Bilson  as  Summer Roberts
Ryan Donowho  as  Johnny Harper
Jeff Hephner  as  Matt Ramsey
Willa Holland  as  Kaitlin Cooper
Michael Nouri  as  Dr. Neil Roberts
Johnny Lewis  as  Dennis 'Chili' Childress
Lisa Rotondi  as  Gwen Harper
Morena Baccarin  as  Maya Griffin
Kimberly Oja  as  Taryn Baker (as Kim Oja)"
The Heavy Lifting,3 ,15,"Kirsten and Julie throw a Valentine's Day party, as the community mourns the loss of Johnny.",7.4/10,311,Episode aired 9 February 2006,43min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood
Mischa Barton  as  Marissa Cooper
Adam Brody  as  Seth Cohen
Melinda Clarke  as  Julie Cooper
Rachel Bilson  as  Summer Roberts
Jeff Hephner  as  Matt Ramsey
Willa Holland  as  Kaitlin Cooper
Michael Nouri  as  Dr. Neil Roberts
Johnny Lewis  as  Dennis 'Chili' Childress
Lisa Rotondi  as  Gwen Harper
Morena Baccarin  as  Maya Griffin
Jackson Rathbone  as  Justin
Cam Gigandet  as  Kevin Volchok"
The Road Warrior,3 ,16,Ryan and Sadie go on a road trip to look for Johnny's dad. A concerned Summer finds out about her dad's relationship with Julie. The police suspect foul play in Johnny's death. Marissa runs into Volchok.,7.3/10,301,Episode aired 9 March 2006,43min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood
Mischa Barton  as  Marissa Cooper
Adam Brody  as  Seth Cohen
Melinda Clarke  as  Julie Cooper
Rachel Bilson  as  Summer Roberts
Jeff Hephner  as  Matt Ramsey
Michael Nouri  as  Dr. Neil Roberts
Morena Baccarin  as  Maya Griffin
Cam Gigandet  as  Kevin Volchok
Autumn Reeser  as  Taylor Townsend
Rodney Rowland  as  Jack Harper (as Rod Rowland)
  Marc Vann  as  Detective Warner
Nikki Reed  as  Sadie Campbell"
The Journey,3 ,17,The Cohens throw Ryan a party for his eighteenth birthday. Ryan can't decide whether or not to invite Marissa. Sandy tries to track down Dawn. Summer confronts Julie. Marissa crashes into an old memory.,7.7/10,309,Episode aired 16 March 2006,43min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood
Mischa Barton  as  Marissa Cooper
Adam Brody  as  Seth Cohen
Melinda Clarke  as  Julie Cooper
Rachel Bilson  as  Summer Roberts
Jeff Hephner  as  Matt Ramsey
Michael Nouri  as  Dr. Neil Roberts
Cam Gigandet  as  Kevin Volchok
Daphne Ashbrook  as  Dawn Atwood
Nikki Reed  as  Sadie Campbell
JD Pardo  as  Tatooed Surfer
Andrew Thacher  as  Jail Cop
Craig Susser  as  Cop on the Pier"
The Undertow,3 ,18,Jess returns with news about Trey. Kirsten helps Ryan confront his savior complex. Seth and Summer receive sex counseling from Taylor.,7.4/10,316,Episode aired 23 March 2006,43min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood
Mischa Barton  as  Marissa Cooper
Adam Brody  as  Seth Cohen
Melinda Clarke  as  Julie Cooper (credit only)
  Rachel Bilson  as  Summer Roberts
Jeff Hephner  as  Matt Ramsey
Autumn Reeser  as  Taylor Townsend
Cam Gigandet  as  Kevin Volchok
Nikki Griffin  as  Jess Sathers
Shaun Duke  as  Henry Griffin
Matt Cohen  as  Jim (as Matthew Cohen)
  Nikki Reed  as  Sadie Campbell
Kat Graham  as  Kim (as Katerina Graham)"
The Secrets and Lies,3 ,19,"Marissa's ties with Volchok send her into a substance abuse downward spiral. Summer is concerned about her friend--and the fate of her father's relationship if things don't improve. Ryan ...
                    See full summary »",7.4/10,304,Episode aired 30 March 2006,43min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood
Mischa Barton  as  Marissa Cooper
Adam Brody  as  Seth Cohen
Melinda Clarke  as  Julie Cooper
Rachel Bilson  as  Summer Roberts
Jeff Hephner  as  Matt Ramsey
Michael Nouri  as  Dr. Neil Roberts
Cam Gigandet  as  Kevin Volchok
Shaun Duke  as  Henry Griffin
Nikki Reed  as  Sadie Campbell
Sven Holmberg  as  Gus
JD Pardo  as  Tattooed Surfer
Patty Onagan  as  Mima"
The Shape of Things to Come,3 ,2,The new dean of Harbor School wants to expel Ryan and Marissa. Summer fights with Taylor over being Social Chair. Kirsten worries about leaving rehab.,7.7/10,328,Episode aired 15 September 2005,43min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood
Mischa Barton  as  Marissa Cooper
Adam Brody  as  Seth Cohen
Melinda Clarke  as  Julie Cooper
Rachel Bilson  as  Summer Roberts
Tate Donovan  as  Jimmy Cooper
Jeri Ryan  as  Charlotte Morgan
Eric Mabius  as  Dean Jack Hess
Autumn Reeser  as  Taylor Townsend
Rosalind Chao  as  Dr. Kim
Blake Robbins  as  Don
Tiffany Thornton  as  Ashley
Mike Mobley  as  Student"
The Day After Tomorrow,3 ,20,College acceptance letters arrive. Three get in... and one doesn't.,7.6/10,309,Episode aired 6 April 2006,43min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood
Mischa Barton  as  Marissa Cooper
Adam Brody  as  Seth Cohen
Melinda Clarke  as  Julie Cooper
Rachel Bilson  as  Summer Roberts
Jeff Hephner  as  Matt Ramsey
Michael Nouri  as  Dr. Neil Roberts
Cam Gigandet  as  Kevin Volchok
Autumn Reeser  as  Taylor Townsend
Shaun Duke  as  Henry Griffin
Nikki Reed  as  Sadie Campbell
Chase Kim  as  Seung Ho (as Charles S. Kim)"
The Dawn Patrol,3 ,21,"Ryan heads to Albuquerque to invite his mom to graduation, while Summer tries to figure out why Seth broke up with her.",7.6/10,308,Episode aired 13 April 2006,43min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood
Mischa Barton  as  Marissa Cooper
Adam Brody  as  Seth Cohen
Melinda Clarke  as  Julie Cooper
Rachel Bilson  as  Summer Roberts
Jeff Hephner  as  Matt Ramsey
Cam Gigandet  as  Kevin Volchok
Autumn Reeser  as  Taylor Townsend
Shaun Duke  as  Henry Griffin
Nicole Garza  as  Chloe
Daphne Ashbrook  as  Dawn Atwood
Erin Foster  as  Heather
JD Pardo  as  Tattooed Guy"
The College Try,3 ,22,"Ryan and Marissa arrive at Berkeley, and Summer and student/poseur Seth visit Brown for freshman orientation weekends. Familiar faces surface.",7.8/10,304,Episode aired 20 April 2006,43min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood
Mischa Barton  as  Marissa Cooper
Adam Brody  as  Seth Cohen
Melinda Clarke  as  Julie Cooper
Rachel Bilson  as  Summer Roberts
Samaire Armstrong  as  Anna Stern
Michael Nouri  as  Dr. Neil Roberts
Cam Gigandet  as  Kevin Volchok
Matt Barr  as  Wes Seyfried
Erick Avari  as  Dr. Overbee
Alain Uy  as  Miguel
Adam Jamal Craig  as  Jack
Nathanael Johnson  as  Prefrosh #1"
The Party Favor,3 ,23,Harbor's Senior Prom brings out the best and the worst in everyone.,8.0/10,329,Episode aired 27 April 2006,43min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood
Mischa Barton  as  Marissa Cooper
Adam Brody  as  Seth Cohen
Melinda Clarke  as  Julie Cooper
Rachel Bilson  as  Summer Roberts
Navi Rawat  as  Theresa Diaz
Samaire Armstrong  as  Anna Stern
Michael Nouri  as  Dr. Neil Roberts
Cam Gigandet  as  Kevin Volchok
Autumn Reeser  as  Taylor Townsend
Lisa Tucker  as  Self
Chase Kim  as  Seung Ho (as Charles S. Kim)
  Justin Chon  as  Big Korea"
The Man of the Year,3 ,24,Sandy is voted Man of the Year. Kirsten hits the bottle. Summer tries to write an impulsive wrong. Ryan is blackmailed into stealing a car. Seth burns down his dad's office. Marissa gets Kaitlyn out of trouble.,7.8/10,345,Episode aired 4 May 2006,43min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood
Mischa Barton  as  Marissa Cooper
Adam Brody  as  Seth Cohen
Melinda Clarke  as  Julie Cooper
Rachel Bilson  as  Summer Roberts
Navi Rawat  as  Theresa Diaz
Michael Nouri  as  Dr. Neil Roberts
Cam Gigandet  as  Kevin Volchok
Willa Holland  as  Kaitlin Cooper
Lucy Hale  as  Hadley Hawthorne
Brock Kelly  as  Trevor Knightley
Lamont Thompson  as  Greg Hoades
Kimberly Oja  as  Taryn Baker (as Kim Oja)"
The Graduates,3 ,25,"On graduation day, Marissa is leaving to be with her dad, but Volchok has feelings for her and is angry at Ryan.",8.7/10,583,Episode aired 18 May 2006,44min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood
Mischa Barton  as  Marissa Cooper
Adam Brody  as  Seth Cohen
Melinda Clarke  as  Julie Cooper
Rachel Bilson  as  Summer Roberts
Michael Nouri  as  Dr. Neil Roberts
Cam Gigandet  as  Kevin Volchok
Autumn Reeser  as  Taylor Townsend
Lamont Thompson  as  Greg Hoades
Willa Holland  as  Kaitlin Cooper
Daphne Ashbrook  as  Dawn Atwood
Paula Trickey  as  Veronica Townsend
Rosalind Chao  as  Dr. Kim"
